Timestamp,Date,Describe,Category
10/15/2024 12:33:05,10/14/2024,Dharmik buying iPhone worth 1.4L. I can never think of buying it even at 4L salary and he is just earning below 50k. How these things happen? I wonder.,Personal
10/15/2024 12:33:54,10/15/2024,A child by mistake deleted his matches from father's phone and was very concerned if he can get back. Support team aise cases mein illegally bhi kar denge.,CH-Grassroots
10/15/2024 12:39:45,10/14/2024,"I had negative feelings for the whole incident where by Payal felt that I have pulled her down always, my bhabhi when she got money for my brother she had a return condition but never did they think on returning money that me or my father gave and we all are in bad condition.
She looks to them as if they have cheated us. She also blamed me for being optimistic. I was feeling very negative and I did not want to be negative.

Then this line occurs to me.
No one cheated us everyone believed in some story and that got wrong

And it started making me positive and I started finding solutions again.",Personal
10/16/2024 22:07:25,10/16/2024,"Gali bam to Montu
How childhood moments resurface and you enjoy a lot.i did to her when she hit Shaurya and Shaurya complained ",Personal
10/16/2024 22:10:18,10/16/2024,"I was on my way to doing errands and meet this shingoda seller . He said itne mein kya time lagta hai. How we do not have time. How much was he courteous and thankful and I was not  I was only transacting.he also asked mp kitne din ke liye Jaa rahe ho.

Why do we not have time ?",Personal
10/16/2024 22:14:44,10/16/2024,"Standup support
Emotions 
Dharmik - iphone reminding father 
Ronak - sister can not think if he will meet again or not. I want to make her feel proud.
How i have lost those emotions in the process of being responsible?",Personal
10/22/2024 19:37:28,10/22/2024,"Ravibhai was looking for supporting me and I thought he was with some other negative intentions.

How we can not trust others how i wish i could have thought positively ",Personal
10/24/2024 13:17:46,10/24/2024,"Ashish on DB3 work ""tame kehsho to hun kari daish""
At what all level I want him to commit after disagreement.

- If things fail I am 100% there in all the cases.

But after you committing
- If you see any issues bring to my notice.
- If you talk to anyone say that I was in disagreement but now I decided to commit on these basis.
- When you commit understand / not agree on the basis of which we are committing.",CH-Culture
10/28/2024 19:44:23,10/28/2024,"Rick driver on way back from office 
How we do not have time for anyone these days ?
Earning and spending money is the main time killing activity ",Personal
10/28/2024 19:45:42,10/28/2024,Rick driver from pakwan to karnavati how bums ache after driving rickshaw for a man with weight ,Personal
10/28/2024 19:47:24,10/28/2024,"Many people in order to meet ends need to earn in multiple ways 

Rick driving in side with a day job
Rick driving in side with tea stall

How money making has become harder ?",Personal
11/2/2024 13:26:23,11/2/2024,"What you feel inside
Dance example 
How you see from.outside 
How the one feels inside ",Personal
11/7/2024 21:37:43,11/7/2024,"How teaching kids is so important 
How fenil seems tough on kids but teaches the right thing
Fenil teaching Dhyey the game of Declare and focus is only on teaching right thing ",Personal
11/12/2024 22:08:26,11/12/2024,"How the early stage startup days are?
When you progress in life you forget some cherishable moments and then when you see them again you feel living them again and feel good about it.

Homeground team sharing their story of 4 years journey and how they remained honest.",Personal
11/12/2024 22:09:55,11/12/2024,How finding Maharshi and talking to homeground started making a lot of sense of progress. Many times in life there are phases of progress and quantum of progress. ,Personal
11/13/2024 5:59:14,11/13/2024,"During meditation
Think when it ends
Think what is next 
Think what I am doing and how can it be better 

Most of the times I have thought about first two and how can I be more present ",Personal
11/13/2024 9:28:55,11/13/2024,"Pencil gone from life
As Shaurya has stopped using pencil
Things that when we leave we love to leave and then later on we yeArn for it.",Personal
11/13/2024 9:29:25,11/12/2024,Did not say what hardik was upset about during dinner to payal observe this ,Personal
11/14/2024 10:19:05,11/14/2024,"Life is a race and life is a journey
When we dropped kids and I was rushing to go back home and payal stopped till kids boarded bus ",Personal
11/16/2024 7:05:23,11/2/2024,"Learn and practice to think about yourself in right way.
Simulate decisions do not only remain hopeful and take only one optimistic view.
This will level up decision making in your life.
",Thoughts
11/16/2024 7:07:09,11/7/2024,"When I was visiting Kanha Jungle during Safari, I found that how separate the jungles are from places where humans' live but had there been a time in past where animals and humans had lived in harmony. Where humans also used to live in Jungle.",Personal
11/19/2024 17:27:36,11/19/2024,"Who has done it?
- is an ego question. What do you get out of it?",Thoughts
11/25/2024 21:49:49,11/25/2024,I went to Abhishek with solution architect hiring thoughts on why we should not hire him and it worked out i did not think it would go that easy ,Event
11/25/2024 21:52:30,11/25/2024,"Two places I became less.violent while returning with Kashyap 

1. How we could have avoided the downtime with matches query updating first 
2. How pro discounts actually has increased revenue.",OFNR - Self
11/25/2024 21:55:03,11/25/2024,Starting yesterday when the server error has come Abhishek has not involved me and I had feeling that he does not want to involve me and eventually wants to take.away things from me to make me feel useless. I constantly kept searching for events that prove that. ,OFNR - Self
11/25/2024 21:58:45,11/25/2024,"When you become consistent and you tend to improve the following kind of experiences happen.
I was looking at my personal work discipline and I today added one powerful tool of reverse engineering from my main goal. This has helped me think really well around what should I be doing right now if I want to pursue goal of making 100, Cr. Revenue.

Habits improve and that improve is worth the wait.",Personal
11/25/2024 22:00:18,11/25/2024,Met aditya for walk at oxygen park,Event
11/26/2024 21:48:45,11/26/2024,"Payal discussion around how selling cars and not getting deposit money is not my priority and mom telling to fill less papaya triggered her 

I decided to stop eating sweets till things get to stability ",Event
11/27/2024 5:59:50,11/26/2024,"- stop preaching and see what you are doing more
- what is the underlying reason of not able to being practical a. Is it emotions b.. is it duty c. Is it not being able to have hard conversation on either side?
- what is wrong here according to you? Should you do anything around that wrong ? Why is she not valued in house? ",Thoughts
11/27/2024 12:04:14,11/27/2024,"an eCommerce support vs a CricHeroes support
At the end you have a choice to return or refund or replace.
At CricHeroes it is not that simple. You have to edit the score, and more importantly mediate looking at the situation. We can also be a platform without emotion towards your cricket and simply say this is not my problem you deal with it. But instead we try to understand where they are coming from and try to do whatever we can even when we know it is hard to do.",CH-Grassroots
11/27/2024 21:43:38,11/27/2024,I would not like to meet Anjali if Abhi is around I will feel awkward ,OFNR - Self
11/27/2024 21:44:36,11/27/2024,I will not go with Rima because. If I go down with her for car Kashyap may notice and feel bad and if I ask Rima to wait outside she may feel bad.,OFNR - Self
11/27/2024 21:53:13,11/27/2024,"Two days back to back

Day 1 payal gets angry due to mummy and looses on mummy and you try to understand and please her. She angrily says she won't let anyone come in house.

Payal gets okay next day and you feel very good about it.

Day 2 Hardik gets angry due to cold war.between payal and Namrata and parents suffer due to that. You tell yourself can not do anything about it. Another thing he mentions is how Payal is mistreating him by not talking to him. The potato and vessel example. He says  there won't be any relationship between us for sure.

Think of money and behavior problems.

You would not bother a lot of what happens to your brother.

What is happening here ?

Are you trying to make everyone happy here ?
Are you waiting for the right time to say things / preach?
",OFNR - Self
12/2/2024 16:15:44,11/29/2024,"Learning works in step function, sometimes you learn so much in a meeting of an hour that is more then what you have learnt in years. Example one meeting around RDS performance issue and that leveled up understanding of how threading can hurt performance and so far I was thinking only in terms of queries.",Thoughts
12/2/2024 16:16:42,11/28/2024,"Instead of having a non-violent communication can we have a conversation with energy, humour and which is more pleasant.",Thoughts
12/4/2024 8:29:30,12/3/2024,"Meeting with Siddharth on what good.leadership can be.

",Event
12/4/2024 8:30:17,12/3/2024,When Hardik said about preparing food in a way that payal did not have dinner ,Event
12/4/2024 8:39:01,12/3/2024,"Good leadership lessons 

- be with them when they are unable to move things.
- be firm on your stand and fight for it as well if needed. Do not loose it easily for the sake of being good or accomodative.
- firm up belief in boring management and appreciate boring management.
- putting up point is not important making sure it goes further as a leader if you really want something to pass through 
- you won't be able to make everyone happy, 
- everyone will not agree with you. Whether you are right or wrong does not make difference.
- not everything needs reaction.
- everyone will not like you everytime .
- share what you feel in right way to right people that will make things good in longer run.
- focus on long term impact . be demanding and have an eye for quality ",Thoughts
12/6/2024 15:50:00,12/5/2024,"Payal while going on reception floor, I told her not to hurry and she became defensive. I could have told her that I see you going up before others come down.",OFNR - Other
12/6/2024 15:51:16,12/6/2024,"How I reacted saying you finish it quickly and do not make it beyond 3 pm for shweta's meeting. I could have just said do you think it will take long for you, I just wanted that if possible leave early.",OFNR - Other
12/7/2024 12:04:27,12/6/2024,"While talking to Birva over call how she said that Hundia's were busy showing that we are Marvadi's and we show that arrogance.

I observed that I saw a good family values and then kept on thinking around that. Then I started seeing how can I adopt it and where am I missing it. I did not see other part. Even Aanshi told me that it looks more like male dominating stuff and I said it is okay. So I feel that I was not able to observer hollistically. One point of view (good or bad) may be blocking my observation skills.",OFNR - Self
3/13/2025 10:45:19,3/13/2025,"On the walk today while talking about respect, and she explained me how it hurts her that it is always respect and her that is being seen not anything else.

I learnt that apart from respect the authority or control is another thing that my brother will need and if that need is unmet the behavior affects.

I also realised that she being opinionated is the main thing which we are not adjusting to.

Post that when we were talking about party expense, I realised that I was just trying to satisfy my ego that I at least did something and in that process I was not able to see the gratefulness that I can have for the things she is doing.",Thoughts
3/13/2025 10:47:35,3/13/2025,"I have not thanked you enough till date for the things that you have done for yourself which I should have done for you.
I have not thanked you enough till date for the things that you have done for me by bringing things for me and always seen it from simplicity lens or I could have spent on something else.",Payal Letter
3/15/2025 7:10:58,3/14/2025,"I sometimes jokingly say that I can do without you. But very frankly i learnt that I can not think of living without you. I feel I do not do most of the things without asking you.
",Payal Letter
3/24/2025 5:57:21,3/24/2025,"When Hardik and I was having lunch at that time dad was leaving and he was going to take the tiago car and was going to load it with kitchen baskets for Nareshbhai.

Dad got angry on hardik when he said not to load fully.

Dad - 
Evaluation of hardik you always think that I do not care about work
Feeling frustration
Need independence
Request Not to come in between

Hardik
Evaluation of Hardik he does not care about car and he goes over board for Naresh
Feeling - embarrassed
Need - to be heard
Request take care of car. ",OFNR - Other
3/24/2025 5:58:23,3/20/2025,"With Hexon team I could have been transparent when decided to take things inhouse and avoided a lot of confusion, waste of time and money, and agitation within teams.",Event
3/24/2025 5:59:19,3/18/2025,"While discussing Karma plan, I could have been listening and suggesting mode to Amrita's plan rather than explaining my plan and sticking to it and explaining its logic.",OFNR - Self
3/25/2025 8:54:56,3/25/2025,"When I can not afford.other 2 kids 
I feel sad and conflicted because i need fairness, joy, and care for each of you 
Hence can we try and go in parts?",OFNR - Self
4/3/2025 9:45:59,4/3/2025,How i am a failure in married life not taking care.of.emotional and.financial needs of my wife and kids ,Personal
5/14/2025 12:41:16,5/5/2025,"I need to stop judging people early on.
When Siddharth was sharing idea about matches I assumed he did not think about some scenarios before reading his document or project on nearby matches.
I need to first understand and listen what he has done so far.

My observation
I last time while talking to siddharth did not listen his full side on the project and started judging
My feeling
I felt unhappy about it
My need 
I need to respect his time and listen to his ideas better.
My reqest
I should ask proper follow on questions and understand more before giving my ideas forming my opinion.

",OFNR - Self
6/8/2025 16:40:29,6/4/2025,"She told following two things.
- I do not take care of her during period and only ask how is the flow and not ask how is the pain just from a purely selfish point of having fun.
- I am not being truthful to her when I did not tell her about the Baleno accident.
- I am talking a lot about having hard conversation and not pleasing everyone but not doing anything there.
I realised
- I have not been taking her responsibilities when it came to taking hard steps when it came to fulfilling responsibilities towards her in 18 years of relationship.
- I should be working on the two points not pleasing and having difficult conversation wherever required.
",Event
6/13/2025 11:29:01,6/12/2025,"Thank you for conversing today.

What i felt not judged, loved, heard, and thankful (for the way you have stood to the mistakes that I have made in our married life.)

Things I remember and will reflect
1. I should not wrongfully empathise with my brother.
2. How giving money/helping others  has other important conditions.
- help yourself first
- help other in right way so that they do not get in that situation again
3. How two things I learnt wrong is if you have money donate, wrong implementation of kindness and aa bicharo
4. Business growth requires a growth mindset, willingness to earn more and get better at your work which is the right input to the system.

",Event
6/16/2025 10:52:47,6/13/2025,"I got agitated when she kept on telling I am not understanding around how the dinner item used to get decided. She felt I got angry and have never felt such before.
She also felt that I do not want to live any more just want to live for Shaurya now.
Felt very bad that day.
Need to learn a better way to share my feelings and not stopping to share.",Event
6/23/2025 9:14:23,6/21/2025,"Discussion with Montu
Event : Her friends have started not talking to her.

Learning : 
How to live with self confidence and how to be yourself?
How to stand for yourself when you feel you are right?
How to look at when you are in mistake?
How to read others?
How to keep your boundaries?
",Event
6/23/2025 9:17:45,6/21/2025,"Event : AWS Community Day Presentation

Observations:
I mostly keep running and do not have time for anything.
I went in hush and to please payal I was trying to get the Montu to take to movie.
I went with Payal to choose things and almost got late for event.
I listened to her frustration when things did not pan out well for her.
I try to take up all the homework if no one else does it.

Learning:
Pleasing does not help you.
You need to be clear on what your priorities are for your life and tell it clearly.
You need to take up less then you can chew and not commit to everything.
Let everyone own the homework.",Event
6/23/2025 9:18:54,6/22/2025,"Event : 
Montu did not like when I said to finish work first before talking to Aadi.
I did not try to please her right after that.
I kept on craving for that.
I shared my view as well which I used not to do it.

Learning
Share your views.
Let difficult conversation happen.",Event
6/23/2025 9:22:15,6/22/2025,"Event
While went to take shaurya's school pant.
I also told her of how do I view Hardik's situation and overall shop vala point.


General
How having clarity once and for all makes sense?
How to work on feedback?
How to have your own choices and have your own impression?
How business growth is connected to quality and if you do not do that you die?
How to demand quality?
How rugged and haphazard approach which I have kept for most part of my life will not help me grow further and that has also not helped Novelty grow further?

Learning:
Have your choices and impression
Be yourself and do not please everyone.
Demand quality in order to grow.
",Event
6/23/2025 10:57:32,6/22/2025,Following rules as citizen and do not become cheap and try to mature while driving do not take unnecessary and cheaky shortcuts.,Event
7/6/2025 15:11:29,7/2/2025,"Payal told me
I am ungrateful. I have used her mentally, physically, and financially.

I can not cry i can. Not speak but I can write 
Wish from God 
Return to kul 
1000 gani khushi
10 ppl

10 ppl you only think do not burden her with that.",Event
8/7/2025 6:00:47,9/17/2024,"I was happy for the progress made in day. Had a good meeting with Rishab around current form, had good discussion on leadership catchup, good clarity happening with NNL thing, and first payment from streaming services.",OFNR - Self
8/7/2025 6:01:25,9/17/2024,"while going to office I felt lost on what am I trying to achieve in my life? Last night discussion with Aanshi happened , in morning the discussion about car happened, while going to office the discussion about my wish happened. I felt as if all of this is not helping me help people around me. I am finding it difficult to buy home, help my brother, make payal happy and take away her worries, make mom and dad relax a bit. I also feared of what God will punish me.for what i did with payal.",OFNR - Self
8/7/2025 6:01:54,9/12/2024,I went on defensive first and ego came in between when she said this is like begging and then upon thinking around it quickly realised that it was my fear and low confidence of not getting business that was speaking around deal with Parthiv then anything else. When i learnt that i felt excited about the same. ,OFNR - Self
8/7/2025 6:02:20,9/12/2024,meeting with Ronak and Siddharth : how will I convince now to not work on certain products . Is it a bandwidth question or choice or wisdom question.my feeling was.excitement but need to level up to get that yes on I could do what I wished for. And prove.two things for yourself. You decided on something.you made it happen ,OFNR - Self
8/7/2025 6:02:52,9/11/2024,I am feeling terrible to not have understood her feelings and needs again failed at understanding her emotional needs. Need to level up man she is hurt. How am I forgetting her needs and even my needs in the light of the situation around me and try to impose my thinking about that situation on us. Money is not the main matter understanding emotional needs is also one and may be you need to be more vigilant about that.,OFNR - Self
8/30/2025 5:59:01,8/29/2025,"I did not understand her again.
She was telling me about she wanting a kitchen outside and I kept on logically arguing instead of understanding her needs.
She felt I am not even understanding her after 18 years.",Event
1/5/2026 22:37:09,1/5/2026,"Morning, went to say mom namaste, she said wear jackets and surprisingly I wore it. Connecting with how we value different things as we age. My mom's peace is more valuable to me then my free choices.",Event
1/5/2026 22:43:45,1/5/2026,I observed that Hiral offered me water when I was checking for water bottle. I felt tickled that how well she observes people around.,OFNR - Self
1/6/2026 7:01:51,1/5/2026,"At breakfast table, yesterday what happened i tried to be dad with kids on the way to cheers and thought should be friends and realised how they will be gone in some.time.",Event
1/6/2026 22:07:54,1/6/2026,"While having meeting with Rishab, Yeragra, Aditya, How much observant and conclusive Rishab can be
1. If Maharshi was not given rnd and sent back to Production. This shows his capability lag.
2. Why did he say that the PCB got ready last week.
3. 

On the contrary how I only work on today's information and right now and unable to link and observe stuff. This is limited information gathering. It looks like a great simplification and not helpful.",Event
1/8/2026 22:16:38,1/7/2026,"Payal was not happy with the way shaurya was taking studies.
She gave feedback to Shaurya
And first he started disagreeing but more he wanted to understand what his monther was trying to say. 
He did agree on what she was saying and then woke up till 11pm to finalie his homework,
Aha for me that how much context payal had how much she could see what is not happening. He was not using his brain while doing homework and clear examples. I realised that I only work with very recent and minmun context.",Event
1/12/2026 21:57:51,1/12/2026,When we were talking with Kanhai how naturally Abhi said that Sanket and Nachiket were not competent and I never wanted to do this business. He was so clear and I always thought world from others' perspective.,Event
1/19/2026 22:22:53,1/19/2026,"On lunch when I said that Payal stayed home due to Aanshi's exam, she felt awkward as she stayed home on Friday as there was overall work from home.

At the same time Abhi said this is what Kuntal said, he felt puzzled.",OFNR - Other
1/19/2026 22:25:02,1/19/2026,When I spoke to Mehul out of nowhere and came to know about his son's name and could spark conversation with him. I felt fulfilled.,OFNR - Self
1/19/2026 22:29:54,1/19/2026,"I can also be good at it.
For many days i was feeling this is hard.
I am not able to do it.
Today I did it such a small thing but what a realisation.
I could talk on non work and strike interesting conversation. (Grihit mom, Mehul son, Rima pollen allergy, Everyone sweets)
All things start to make sense. Share energy / mood from super communicators,  Be vulerable etc.",Event
1/20/2026 22:10:38,1/20/2026,I asked for cabbage salad which I usually do not ask.,Payal Letter / Loving Her
1/20/2026 22:14:42,1/12/2026,I wanted to say NO to DR Shah for IPO but could not say and kept justifying why I was right.,People Pleasing
1/20/2026 22:15:05,1/12/2026,I would never say that Sanket and Nachiket were not competent to a 3rd person even when he is opening like Kanhai talked about Hemal. I would not share about Sanket and Nachiket assuming that is wrong or what if they hear it.,People Pleasing
1/20/2026 22:15:22,1/8/2026,Had opinion that STO prep should be better. Would you share it? Or not assuming that everything went well ,People Pleasing
1/20/2026 22:15:35,1/8/2026,Communicate your opinion with Payal that you understand her plight only thing you can offer is helping hand and later on ability to sit back home.,People Pleasing
1/20/2026 22:16:20,1/19/2026,"- Mostly during day never felt low on confidence in fact felt very confident.
	* During meeting with Rima
	* While striking conversation with everyone Mehul, Grihit, Rima, Homeground Team etc.
",Low Confidence
1/20/2026 22:16:39,1/12/2026,"* When I saw Abhishek and Kanhai talking, I thought I was left alone and somehow felt that I have not achieved what even Kanhai achieved when he said that I have enough for my family not to worry. 
* The way they were able to pass the food, take the food, I always that let them take and then I take. They were asking and taking.",Low Confidence
1/20/2026 22:17:17,1/12/2026,"- How observant Abhishek and Kanhai both were.
	* Kanhai could see that there was oil on the table.
	* He observed Shaan Zaveri on what he wore how was his attitude towards others.
* How were they eating?
	* Talking easily. 
	* Eating easily. 
	* No hurry to finish meal and focusing on talking making connections.
* While Kanhai was talking, I was not making eye contact. This is my way of hearing but not seeming connecting with people.
",OFNR - Other
1/20/2026 22:20:15,1/20/2026,"Contrast
I was brought up in a way that everything is chill if you get good marks or bad you will do better next time.
But when Shaurya forgot his homework and teacher reminded overcall
The way Payal reacted and explained him
The way she could see future if the same attitude continues.
I found it amazing that how different this is.
How effective can parenting be?
How do you care about your kids?",Story
1/20/2026 22:28:26,1/20/2026,"While scolding shaurya Payal was disappointed that my son is not attentive and disrespectful in class.
Shaurya was feeling regretful and not ashamed.
Watching this I felt responsible and my need was shared responsibility and preparedness for future for Shaurya.",OFNR - Other
1/20/2026 22:32:08,1/20/2026,I felt concerned when Payal shared lunch incident and my need was of professional trust.,OFNR - Self
1/21/2026 22:26:36,1/21/2026,"Missing the bus and optimism.

I always felt that there is always a chance and that is optimism I carried
While talking to Rishab and Maharshi I saw that Rishab was not trying to take chance and I kept on nudging him
He has all the valid points but I was becoming over optimistic.

I realised that missing bus or ab pachhtaye kya jab chidiya chug gayi khet is a reality and nothing wrong about it.

What happens is that the other guy Maharshi will not be a fit in long run he will face problem in short run
Second argument is if you miss this bus catch some other bus that is how you can also look that as a positive outcome.",Story
1/21/2026 22:27:51,1/21/2026,"While going for lunch Abhishek asked that did they plan impromptu (Digicorp team) in fact he asked that when did they plan?
I felt he wanted to know whether he was called last moment.",OFNR - Other
1/21/2026 22:31:45,1/21/2026,"Observation
I prepared for company wide strategy meeting.
I went into meeting explaining something to leadership team.
The discussion went into numbers.
With PRO getting done without strategy.
Full discussion on store with some discussion on choices but no clear written thing.
I was not happy with structure not emerging out of it.
I found discussion valuable but still thinking takes a lot of time at leaders level.
I will have to come up with a good format to drive it further.
When I think again I feel this is a natural course of action.
I wanted structure first, I was not prepared, The discussion went how abhi wanted. It did not get any document done. Now I feel if I have a better structure then it will be done better and I plan to create that structure now.",OFNR - Self
1/21/2026 22:32:45,1/21/2026,"The way Meet put up point for B2B - Store when we all 3 were not convinced was good. The way he remains appreciative or cognizant of others facts is admirable.

",OFNR - Other
1/21/2026 22:34:37,1/21/2026,"I observe that
I was the one which started sharing no to B2B store and then I am the one who ended up with compelling argument to do that.

This at jr or md level looks like a great thing but at sr leadership level this kind of switching does not look good.

What I can do instead I can put this up as question.

What happens if we do not do B2B instead of in my opinion let us not do B2B.

This is very habitual to give judgements because always I have been a founder.",OFNR - Self
